,Id,Name,lat,lng
170,7198,Queen St W / Cowan Ave,43.6413176,-79.4331192
171,7150,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6565553,-79.43276370000001
172,7209,Ossington Ave / Harrison St,43.650949,-79.4213583
173,7124,Dundas St E / Broadview Ave,43.6624664,-79.351366
174,7152,Ossington Ave / Bloor St W,43.66199049999999,-79.42562989999999
175,7096,Boston Ave / Queen St E,43.6613414,-79.33879859999999
176,7154,Bathurst Subway Station,43.6660011,-79.4112152
177,7112,Liberty St / Fraser Ave Green P,43.6376044,-79.424112
178,7141,Bridgman Ave / Kendal Ave,43.6754816,-79.4098212
179,7206,Claremont St / Dundas St W,43.6511757,-79.4115877
180,7131,Taddle Creek Park,43.6715791,-79.3986683
181,7179,Bloor GO / UP Station (West Toronto Railpath),43.6569402,-79.450082
182,7084,Stephenson Ave / Main St,43.6877284,-79.301609
183,7151,Essex St / Christie St - SMART,43.668359,-79.42027329999999
184,7142,Bridgman Ave / Bathurst St,43.6743307,-79.4148223
185,7157,Dufferin St / Bloor St W,43.6598804,-79.4353297
186,7182,Sterling Rd / Dundas St W,43.65067759999999,-79.4430582
187,7106,Mill St / Tannery Rd,43.652154,-79.35434459999999
188,7138,Davenport Rd / Christie St,43.6755784,-79.4230446
189,7180,Lansdowne Subway Station,43.7712955,-79.3648347
190,7137,Davenport Rd / Bathurst St,43.6766965,-79.41575569999999
191,7178,Dundas St W / Edna Ave,43.657274,-79.4526928
192,7128,Yonge St / Aylmer Ave,43.6756007,-79.38897109999999
193,7134,Marlborough Ave / Yonge St,43.679879,-79.39072949999999
194,7194,Mortimer Ave / Coxwell Ave,43.6905839,-79.326557
195,7086,Woodbine Subway Green P (Cedarvale Ave),43.6863715,-79.31281609999999
196,7088,Danforth Ave / Coxwell Ave,43.6833563,-79.3235888
197,7083,Danforth Ave / Barrington Ave,43.6884404,-79.3005649
198,7085,Danforth Ave / Westlake Ave,43.6874331,-79.3052146
199,7181,Lansdowne Ave / Whytock Ave,43.65383509999999,-79.44111439999999
200,7235,Bay St / College St (West Side) - SMART,43.6608355,-79.3858556
201,7283,Front St W / Bay St (South Side),43.6459671,-79.3791622
202,7241,519 Church St,43.6665106,-79.3810178
203,7276,Bloor St W / Balmuto St,43.6700026,-79.3880125
204,7239,Bloor St W / Manning Ave - SMART,43.66407239999999,-79.41609389999999
205,7220,Lake Shore Blvd W / Ellis Ave,43.6361237,-79.46515819999999
206,7260,Spadina Ave / Adelaide St W,43.6467659,-79.3954519
207,7267,Dundas St E / Pembroke St - SMART,43.6581648,-79.3724019
208,7275,Queen St W / James St,43.6521206,-79.3807195
209,7271,Yonge St / Alexander St - SMART,43.6628957,-79.3837219
210,7254,Borden St / Bloor St W - SMART,43.6656788,-79.4086501
211,7251,The Royal Ontario Museum (Bloor St Entrance),43.6677097,-79.3947771
212,7253,John St  / Mercer St - SMART,43.6459532,-79.3894662
213,7269,Toronto Eaton Centre (Yonge St) - SMART,43.6544382,-79.3806994
214,7226,Lake Shore Blvd W / The Boulevard Club,43.63565089999999,-79.4440176
215,7240,Bloor St W / Shaw St - SMART,43.66251,-79.4232428
216,7245,Tecumseth St / Queen St W - SMART,43.6466705,-79.4065926
217,7281,Charles St W / Balmuto St - SMART,43.6684851,-79.387383
218,7250,Ursula Franklin St / St. George St - SMART,43.6604484,-79.39695379999999
219,7237,Ward St / Wallace Ave,43.6620325,-79.4458421
220,7236,Thompson St / Broadview Ave - SMART,43.6729037,-79.3557688
221,7264,Bloor St E / Huntley St - SMART,43.6719158,-79.3791141
222,7265,Wallace Ave / Symington Ave - SMART,43.6612929,-79.4493586
223,7272,Yonge St / Dundonald St - SMART,43.6658295,-79.384935
224,7280,Charles St E / Jarvis St - SMART,43.6699562,-79.37994259999999
225,7256,Vanauley St / Queen St W - SMART,43.6483383,-79.3983971
226,7259,Lower Spadina Ave / Lake Shore Blvd W,43.6385364,-79.39212959999999
227,7230,Garden Ave / Roncesvalles Ave,43.6438041,-79.4474894
228,7287,Queen St E / Pape Ave - SMART,43.6615867,-79.3376924
229,7255,Stewart St / Bathurst St  - SMART,43.6431914,-79.402383
230,7274,Queen's Park Cres E / Grosvenor St - SMART,43.6617465,-79.3898756
231,7988,High Park - Grenadier Cafe,43.6454728,-79.46601040000002
232,7248,Baldwin St / Spadina Ave - SMART,43.6549246,-79.39872
233,7285,Spadina Ave / Harbord St - SMART,43.6630939,-79.4020097
234,7263,Walton St / Elizabeth St - SMART,43.6577597,-79.3861957
235,7270,Church St / Dundas St E - SMART,43.6564936,-79.37714629999999
236,7233,King St W / Cowan Ave - SMART,43.6380248,-79.4318773
237,7257,Dundas St W / St. Patrick St,43.6544805,-79.3903151
238,7252,Robert St / Bloor St W - SMART,43.6663621,-79.4053356
239,7242,Lake Shore Blvd W / Ontario Dr,43.6303922,-79.4198324
240,7227,Martin Goodman Trail (Marilyn Bell Park),43.631462,-79.4316385
241,7277,Chorley Park - SMART,43.6860497,-79.3692834
242,7289,Humber Bay Shores Park East,43.6279083,-79.4756618
243,7282,Adelaide St W / Bay St - SMART,43.6498929,-79.380774
244,7249,Lakeview Ave / Harrison St (Green P) – SMART,43.6505226,-79.4241796
