Id,Name
7286,Gerrard St E / Broadview Ave  - SMART
7232,Queen St W  /  Fuller Ave - SMART
7273,Bay St / Charles St W - SMART
7262,Wychwood Ave / Benson Ave - SMART
7268,111 Bond St (North of Dundas St E)  - SMART
7238,Sorauren Ave / Geoffrey St - SMART
7246,Yonge St / Bloor St
7229,Dundas St W / Roncesvalles Ave Green P -SMART
7221,High Park Subway Station
7288,Humber Bay Shores Park West
7228,King St W / Wilson Park Blvd
7234,Roncesvalles Ave / Marmaduke St
7224,Bloor St W / High Park Ave (High Park)
7243,Exhibition GO Station
7258,Queen St E / Rushbrooke Ave
7279,Rosehill Ave / Avoca Ave - SMART
7244,Dufferin Gate - SMART
7231,Wright Ave / Sorauren Ave - SMART
7295,High Park - West Rd
7247,Howard Park Ave / Dundas St W - SMART
7223,Parkside Dr / Bloor St W - SMART
7278,Mallon Ave / Jones Ave -SMART
7225,Lake Shore Blvd W / Windermere Ave
7266,Victoria Park Subway Station - SMART
7219,Wolfpack - 7219
7291,Lakeshore Blvd E / Parliament St
7293,College St / McCaul St
7292,Granby St / Church St - SMART
7298,Bathurst St / Adelaide St W
7299,Mill St / Parliament St
7297,Havelock St / Dufferin Park
7301,Primrose Ave / Davenport Rd - SMART
7303,Queen St E / Woodward Ave
7296,Westmoreland Ave / Fernbank Ave
7309,Queen St E / Rhodes Ave
7302,Winona Dr / Davenport Rd
7311,Sherbourne St / Isabella St
7312,Amelia St / Sumach St
7314,Queen St. E / Eastern Ave
7313,Lower Coxwell Ave /  Lake Shore Blvd E
7315,Queen St E / Hammersmith Ave
7318,Hubbard Blvd / Glen Manor Dr
7319,Lake Shore Blvd E / Knox Ave
7317,Hubbard Blvd / Balsam Av
7316,Queen St. E / Spruce Hill Rd.
7322,East Liberty St / Western Battery Rd
7323,457 King St W
7324,King St W / Charlotte St (West Side)
7320,Front St W / University Ave (1)
7321,Front St W / University Ave (2)
7328,Roxborough St W / Yonge St
7327,Davenport Rd / Dovercourt Rd - SMART
7329,Crawford St / Queen St W
7326,Davenport Rd / Lansdowne Ave
7334,Simcoe St / Wellington St W North
7333,King St E / Victoria St
7335,123 Queen St W
7330,Lee Ave / Queen St E
7332,200 Bloor St E
7331,Coxwell Ave / Plains Rd
7337,Gerrard Square Mall (1010 Gerrard St E)
7336,Queen St E / Alton Av
7342,Morse St / Eastern Ave - SMART
7339,Carlaw Ave / Strathcona Ave
7341,Eastern Ave / Winnifred Ave
7344,Cherry Beach
7338,Logan Ave / Bain Ave
7340,Blake St / Boultbee Ave - SMART
7343,Alton Ave / Dundas St E (Greenwood Park)
7345,Cherry Beach Sports Fields (55 Unwin Ave)
7347,Regal Rd / Dufferin St
7346,Logan Ave / Gerrard St E
7350,Broadview Ave / Westwood Ave
7349,Gamble Ave / Broadview Ave
7348,Pape Ave / Gamble Ave
7351,Pretoria Ave / Broadview Ave
7354,Tommy Thompson Park (Leslie Street Spit)
7353,Fulton Ave / Pape Ave - SMART
7356,King St E / Berkeley St
7357,Lake Shore Blvd E / Leslie St
7352,Cosburn Ave / Donlands Ave
7358,Galbraith Rd / King's College Rd
7360,Concord Ave / Dewson St
7362,St Clair Ave W / Bathurst St.
7361,Hocken Ave / Vaughan Rd
7363,Wells Hill Ave / St Clair Ave W
7359,Rosedale Park (20 Scholfield Ave)
7366,Fort York Blvd / Bathurst St - SMART
7364,Queen St E / Nursewood Rd
7365,Kewbeach Ave / Kenilworth Ave
7369,Dupont St / Emerson Ave SMART
7368,Lisgar St / Dundas St W - SMART
7367,Alma Ave / Gladstone Ave SMART
7371,Eglinton Ave W / Henning Ave SMART
7372,Adelaide St W / Portland St
7355,Beltline Trail / Chaplin Cres
7373,George St / King St E
